"","Date","Seattle"
"1","3/31/2004",1178
"2","6/30/2004",1582
"3","9/30/2004",1202
"4","12/31/2004",1073
"5","3/31/2005",1351
"6","6/30/2005",1531
"7","9/30/2005",1276
"8","12/31/2005",1016
"9","3/31/2006",1301
"10","6/30/2006",1578
"11","9/30/2006",1209
"12","12/31/2006",987
"13","3/31/2007",1424
"14","6/30/2007",1521
"15","9/30/2007",998
"16","12/31/2007",764
